,Unnamed: 0,id,sentence,label,source,category,subject_word,subject_start,subject_end,subject_type,object_word,object_start,object_end,object_type
18,18,31553,"문성민은 경기대학 에 입학하여 황동일, 신영민 과 함께 경기대학 의 자취를 이끌면서 하계대전, 전국체회,체 전 등 3관왕을 이룬다.",per:schools_attended,wikipedia,per,문성민,0,2,PER,경기대,5,7,ORG
18,18,31554,"문성민이 경기대학교에 입학하여 황동 트로피, 신영석과 함께 경기대학교 방정식 전성기를 이끌며 하계대회와 전국체회, 최강전 등 3관왕을 이룬다.",per:schools_attended,wikipedia,per,문성민,0,2,PER,경기대,5,7,ORG
18,18,31555,"문성민은 경기대학교에 입학해 황동일 · 신영석과 함께 경기대학교의 제과를 이끌면서 하계대회, 전국체전, 최강전 등 2 관왕을 이룬다.",per:schools_attended,wikipedia,per,문성민,0,2,PER,경기대,5,7,ORG
18,18,31556,"문성민은 경기대학교에 입학하여 황동일, 신영민 과 함께 경기대학교의 전성기를 이끌면서 하계대회, 전국체전, 최강전 등 3 유통망왕을 이룬다.",per:schools_attended,wikipedia,per,문성민,0,2,PER,경기대,5,7,ORG
18,18,31557,"문성민년 경기대학 에 입학하여 김 동일, 신영석과 함께 경기대학교 의 전성기를 이끌 면서 전국 대회, 전국 체전, 최강전 등 3관왕을 이룬다.",per:schools_attended,wikipedia,per,문성민,0,2,PER,경기대,5,7,ORG
68,68,31558,"경성대학교 재학 시절 우완 투수 김기표와 함께 동기생이었는데 이 둘은 재학 당시 각각'금기 삼 ','우기표'로 불렸다.",per:schools_attended,wikipedia,per,김기표,18,20,PER,경성대,0,2,ORG
68,68,31559,"경성대학교학교 시절 못내 투수 김기표의 입학 동기생이 됐 는데 이 둘은 입단 당시 각각'좌원삼 ','김기 표 ’ 로 불렸다.",per:schools_attended,wikipedia,per,김기표,17,19,PER,경성대,0,2,ORG
68,68,31560,"경성대학교 재학 시절 우완 투수 김기표와 입학 동기생이었는데, 둘은 재학 당시 각각 "" 좌기 삼 ','우기표'로 불렸다.",per:schools_attended,wikipedia,per,김기표,18,20,PER,경성대,0,2,ORG
68,68,31561,"경성대학교 재학 시절 우완투수 김기표의 입학 동기생들이 었던 이 둘은 입단 당시 각각'좌원삼 ','우기표 ’ 로 불렸다.",per:schools_attended,wikipedia,per,김기표,17,19,PER,경성대,0,2,ORG
68,68,31562,"경성대학교 재학 시절 우완 투수 김기표과 입학예 생이었던 이 둘은 입단 당시 함께 "" 좌원삼 ', "" 우기표'로 불렸다.",per:schools_attended,wikipedia,per,김기표,18,20,PER,경성대,0,2,ORG
1527,1527,31563,"오선우 선수는 인하대 시절 2 학년 때부터 팀 우익수 자리를 꿰 했으며 장타율 0. 768을 기록 했다. 고교 시절에는 타격상, 타점상, 홈런상을 수상했다.",per:schools_attended,wikitree,per,오선우,0,2,PER,인하대,8,10,ORG
1527,1527,31564,"오선우 선수 母 인하대 시절 1년 때부터 주전 우익수 자리를 차지했으며 장타력 0. 767 을 기록한 다. 고교리그 에는 타격상, 타점상, 홈런상을 수상했다.",per:schools_attended,wikitree,per,오선우,0,2,PER,인하대,9,11,ORG
1527,1527,31565,"오선우 선수는 인하대 시절 1년 때 때 주전 우익수 자리를 차지했고 장타율 0. 768을 기록했다. 대학년 에는 타격상, 타점상, 홈런상을 수상했다.",per:schools_attended,wikitree,per,오선우,0,2,PER,인하대,8,10,ORG
1527,1527,31566,"오선우 선수는 인하대 시절 1학년 때부터 주전 우익수 자리를 차지했으며 장타율 0. 71 8 충당 기록했다. 고교 시절에 최우수 타격상, 타점상, 홈런상을 수상했다.",per:schools_attended,wikitree,per,오선우,0,2,PER,인하대,8,10,ORG
1527,1527,31567,"오선우 선수는 인하대 시절 2 학년 때부터 정찬 우익수 자리를 차지하며 출루 율 0 36 36 8을 기록했다, 고교 시절에 이미 타격상, 타점상, 홈런상을 수상했다.",per:schools_attended,wikitree,per,오선우,0,2,PER,인하대,8,10,ORG
1555,1555,31568,1975년 한양대학교에 진학한 장효조는 1학년 때 국가대표팀에 선발되었고 이후 1976년 백호기회 에서 0. 714 ( 14타수 10안타이 ) 라는 신기 로운 타율을 기록하며 타격왕을 달성하고 학식연타로 2홈 타를 쳐 내는 등 크게 활약 할 선수로 큰 기대를 모았다.,per:schools_attended,wikipedia,per,장효조,17,19,PER,한양대,6,8,ORG
1555,1555,31569,"1975년 한양대학 불륜 진학한 장효조은 1학년 때 국가대표팀으로 선발되었으며고 1976년 백호기 대회 때 0, 714 ( 14홈석 10안타 ) 라는 경이한 제주도을 기록하며 타격할 을 달성하고 4연타석 2루타를 쳐 내는 등 크 시니어 성장할 선수로 큰 기대를 모았다.",per:schools_attended,wikipedia,per,장효조,18,20,PER,한양대,6,8,ORG
1555,1555,31570,"1976 년 한양대학교에 진학한 장효조은 1학년 때 국가대표팀에 발탁하 었고, 1976회 백호호 대회에서 3. 717 ( 12루 수 10안루 ) 라는 경이로운 성적 을 기록하며 타격왕을 달성하고첨연연 석 2루타를 때려 내는며 크게 활약 할 선수로 큰 기대를 모았다.",per:schools_attended,wikipedia,per,장효조,18,20,PER,한양대,7,9,ORG
1555,1555,31571,1975년 한양대학교에 진학한 장효조는 1학년절 국가 대표 팀에 선발하 었고 이후 1976년 백두 기전 에서 0. 714 ( 14타 케이티 10안런 ) 의 경이성타를 기록하서 타격왕을 차지 하고 4연타와 2루타를 쳐 내는 등 크게 성장할 선수로 큰 기대를 모았다.,per:schools_attended,wikipedia,per,장효조,17,19,PER,한양대,6,8,ORG
1555,1555,31572,"1976 년 한양대얕에 진학한 장효조는 2 학년 때 국가대표팀에 선발됐됐 고, 1976년 백호기 때서 0, 714 ( 14타수 10안타이 ) 라는 경이한 성적 을 작성 하며 타격왕을 달성하고, 연타성 2루타를 쳐 유니크는 등 크게 활약한 선수로 큰 기대를 모았다.",per:schools_attended,wikipedia,per,장효조,17,19,PER,한양대,7,9,ORG
1832,1832,31573,"한양대 2년 때 이영 지는 평범한 타율 을 기록했으나, 3학년 때 고종욱과 같이 빠른야구 를 주도하며 타율을 1. 299 수준 지 끌어올렸다.",per:schools_attended,wikipedia,per,고종욱,37,39,PER,한양대,0,2,ORG
