,id,sentence,label,source,category,subject_word,subject_start,subject_end,subject_type,object_word,object_start,object_end,object_type
0,31553,"문성민은 경기대학에 입학하여 황동일, 신영민과 함께 경기대학의 자취를 이끌면서 하계 대전, 전 국체회, 체 전 등 3관왕을 이룬다.",per:schools_attended,wikipedia,per,문성민,0,2,PER,경기대,5,7,ORG
1,31554,"문성민이 경기대학교에 입학하여 황동 트로피, 신영석과 함께 경기대학교 방정식 전성기를 이끌며 하계대회와 전 국체회, 최강전 등 3관왕을 이룬다.",per:schools_attended,wikipedia,per,문성민,0,2,PER,경기대,5,7,ORG
2,31555,"문성민은 경기대학교에 입학해 황동일 · 신영석과 함께 경기대학교의 제과를 이끌면서 하계대회, 전국체전, 최강전 등 2 관왕을 이룬다.",per:schools_attended,wikipedia,per,문성민,0,2,PER,경기대,5,7,ORG
3,31556,"문성민은 경기대학교에 입학하여 황동일, 신영민과 함께 경기대학교의 전성기를 이끌면서 하계대회, 전국체전, 최강전 등 3 유통망 왕을 이룬다.",per:schools_attended,wikipedia,per,문성민,0,2,PER,경기대,5,7,ORG
4,31557,"문성민 년 경기대학에 입학하여 김 동일, 신영석과 함께 경기대학교의 전성기를 이끌면서 전국 대회, 전국 체전, 최강전 등 3관왕을 이룬다.",per:schools_attended,wikipedia,per,문성민,0,2,PER,경기대,6,8,ORG
5,31558,"경성대학교 재학 시절 우완 투수 김기표와 함께 동기생이었는데 이 둘은 재학 당시 각각'금기 삼 ','울 기표'로 불렸다.",per:schools_attended,wikipedia,per,김기표,18,20,PER,경성대,0,2,ORG
6,31559,"경성대학교 학교 시절 못내 투수 김기표의 입학 동기생이 됐 는데 이 둘은 입단 당시 각각'좌원삼 ','김기 표 ’로 불렸다.",per:schools_attended,wikipedia,per,김기표,18,20,PER,경성대,0,2,ORG
7,31560,"경성대학교 재학 시절 우완 투수 김기표와 입학 동기생이었는데, 둘은 재학 당시 각각 "" 좌기 삼 ','울 기표'로 불렸다.",per:schools_attended,wikipedia,per,김기표,18,20,PER,경성대,0,2,ORG
8,31561,"경성대학교 재학 시절 우완투수 김기표의 입학 동기생들이었던 이 둘은 입단 당시 각각'좌원삼 ','우기 표 ’로 불렸다.",per:schools_attended,wikipedia,per,김기표,17,19,PER,경성대,0,2,ORG
9,31562,"경성대학교 재학 시절 우완 투수 김기표과 입학 예 생이었던 이 둘은 입단 당시 함께 "" 좌원삼 ', "" 기표'로 불렸다.",per:schools_attended,wikipedia,per,김기표,18,20,PER,경성대,0,2,ORG
10,31563,"오선우 선수는 인하대 시절 2 학년 때부터 팀 우익수 자리를 꿰 했으며 장타율 0. 768을 기록 했다. 고교 시절에는 타격상, 타점상, 홈런상을 수상했다.",per:schools_attended,wikitree,per,오선우,0,2,PER,인하대,8,10,ORG
11,31564,"오선우 선수 母 인하대 시절 1년 때부터 주전 우익수 자리를 차지했으며 장타력 0. 767 을 기록한 다. 고교리그 에는 타격상, 타점상, 홈런상을 수상했다.",per:schools_attended,wikitree,per,오선우,0,2,PER,인하대,9,11,ORG
12,31565,"오선우 선수는 인하대 시절 1년 때 때 주전 우익수 자리를 차지했고 장타율 0. 768을 기록했다. 대학년 에는 타격상, 타점상, 홈런상을 수상했다.",per:schools_attended,wikitree,per,오선우,0,2,PER,인하대,8,10,ORG
13,31566,"오선우 선수는 인하대 시절 1학년 때부터 주전 우익수 자리를 차지했으며 장타율 0. 71 8 충당 기록했다. 고교 시절에 최우수 타격상, 타점상, 홈런상을 수상했다.",per:schools_attended,wikitree,per,오선우,0,2,PER,인하대,8,10,ORG
14,31567,"오선우 선수는 인하대 시절 2 학년 때부터 정찬 우익수 자리를 차지하며 출루 율 0 36 36 8을 기록했다, 고교 시절에 이미 타격상, 타점상, 홈런상을 수상했다.",per:schools_attended,wikitree,per,오선우,0,2,PER,인하대,8,10,ORG
15,31568,1975년 한양대학교에 진학한 장효조는 1학년 때 국가대표팀에 선발되었고 이후 1976년 백호 기회에서 0. 714 ( 14타수 10안타의 )라는 신기 로운 타율을 기록하며 타격왕을 달성하고 학식 연타로 2홈 타를 쳐 내는 등 크게 활약할 선수로 큰 기대를 모았다.,per:schools_attended,wikipedia,per,장효조,17,19,PER,한양대,6,8,ORG
16,31569,"1975년 한양대학 불륜 진학한 장효조는 1학년 때 국가대표팀으로 선발되었으며고 1976년 백호기 대회 때 0, 714 ( 14홍석 10안타 )라는 경이한 제주도를 기록하며 타격할 을 달성하고 4연타석 2루타를 쳐 내는 등 크 시니어 성장할 선수로 큰 기대를 모았다.",per:schools_attended,wikipedia,per,장효조,18,20,PER,한양대,6,8,ORG
17,31570,"1976 년 한양대학교에 진학한 장효조는 1학년 때 국가대표팀에 발탁하었고, 1976회 백호로 대회에서 3. 717 ( 12루 수 10은 루 )라는 경이로운 성적을 기록하며 타격왕을 달성하고 첨 연연 석 2루타를 때려 내는 면 크게 활약할 선수로 큰 기대를 모았다.",per:schools_attended,wikipedia,per,장효조,18,20,PER,한양대,7,9,ORG
18,31571,1975년 한양대학교에 진학한 장효조는 1학년 절 국가 대표 팀에 선발하었고 이후 1976년 백두 기전에서 0. 714 ( 14타 케이티 10 안는 )의 경이성타를 기록 하서 타격왕을 차지하고 4연타와 2루타를 쳐 내는 등 크게 성장할 선수로 큰 기대를 모았다.,per:schools_attended,wikipedia,per,장효조,17,19,PER,한양대,6,8,ORG
19,31572,"1976 년 한양대 얕게 진학한 장효조는 2 학년 때 국가대표팀에 선발됐됐 고, 1976년 백호기 때서 0, 714 ( 14타수 10안타의 )라는 경이한 성적을 작성하며 타격왕을 달성하고, 연타성 2루타를 쳐 유니크는 등 크게 활약한 선수로 큰 기대를 모았다.",per:schools_attended,wikipedia,per,장효조,18,20,PER,한양대,7,9,ORG
20,31573,"한양대 2년 때 이영 지는 평범한 타율을 기록했으나, 3학년 때 고종욱과 같이 빠른 야구를 주도하며 타율을 1. 299 수준 지 끌어올렸다.",per:schools_attended,wikipedia,per,고종욱,36,38,PER,한양대,0,2,ORG
21,31574,"한양대 2학년 때까지 만든 평범한 성적을 유지했지만, 뚫학년 때 고종욱과 함께 빠른 야구를 경남 대하며 타율을 0. 299까지 끌어올렸다.",per:schools_attended,wikipedia,per,고종욱,36,38,PER,한양대,0,2,ORG
22,31575,"한양대 2학년 때까지는 평범한 성적을 기록했으나, 3학년 때 고종욱과 함께 빠른 야구를 구사하며 타율을 0. 299카로 끌어올렸다.",per:schools_attended,wikipedia,per,고종욱,34,36,PER,한양대,0,2,ORG
23,31576,"한양대 2학년 때까지는 평범한 성적을 기록했지만, 3학년 때 고종욱 따라 붓 함께 빠른 야구 훈련을 하며 타율을 0, 299까지 끌어올렸다.",per:schools_attended,wikipedia,per,고종욱,34,36,PER,한양대,0,2,ORG
24,31577,"한양대 2학년 때까지는 평범한 성적으로 아찔했지만, 4 학년 때 고종욱 와 함께 빠른 야구를 시작하며 타율을 0. 299 이상 지 끌어올렸다.",per:schools_attended,wikipedia,per,고종욱,36,38,PER,한양대,0,2,ORG
25,31578,"북화 고등학교 시절 때의 좌완 에이스로 활동하다가 팔꿈치 FBI으로 인해 단국대학교 1학년 때 외야수로 전업했지만, 2학년 때 그 해 가을에의 1992년 하계 하계 예선전 대표로 뽑힌 것을 시작으로 4년 내내 국가 대표팀 활동했으며, 고려대학교의 심재학 교차 함께'심 - -'로 불리며 대학 야구 최고의 홈런타자로 활약한다.",per:schools_attended,wikipedia,per,심재학,138,140,PER,고려대,131,133,ORG
26,31579,"북일고등학교 학교 팀 팀 좌완 에이스 에이스 활동하다가, 부상으로 으레 광 대학교 1학년 때 외야수로 전업했지만, 2 학년 때 그 해 가을에 열린 1992 년 여름 올림픽 일리 대표로 뽑힌 것을 인연으로 2 년 내내 국가대표로 활동했으며, 고려대학교의 심재학과 함께'심 -포'로 불리며 대학 야구 최고의 홈런타자로 활약한다.",per:schools_attended,wikipedia,per,심재학,141,143,PER,고려대,134,136,ORG
27,31580,"광주 일고 등 학교 시절 팀의 좌완 투수로 활동한 다가 팔꿈치 부상으로 인해 단국대학교 1학년 때 외야수로 전업했지만, 2 학년 때 그 해 그해에 열린 1992년 하계 올림픽 예선전 대표로 뽑힌 것 을 시작으로 4년 내내 국가대표로 활동했으며, 고려대학교 시절 심재학과 함께'심 - 심포'로 불리며 대학 야구 최고의 홈런 타자로 활약한다.",per:schools_attended,wikipedia,per,심재학,146,148,PER,고려대,137,139,ORG
28,31581,"북일고등학교 시절 학교의 좌완 에이스로 활동하다가 부친 부상화 인해 단국대학 1학년 때 외야수 절단 전업했지 만지만 1 학년 때 그 해 해에 열린 1992 1992 하계 올림픽 예선전 대표로 노 것을 시작 시작 4년 내내 내내 대표 대표 활동 활동이며, 고려대 고려대의 심재학과 과'심 - 심 포폴로 불리며 면 야구 최고의 홈런타자로 활약한다.",per:schools_attended,wikipedia,per,심재학,151,153,PER,고려대,142,144,ORG
29,31582,"북일고등학교 시절 팀의 좌완 에이스 [ unused354 ] 활동하다가 팔꿈치 부상으로 인해 단국대학교 1학년 때 외야수로 전업했지만, 2학년 때 그 해 가을에 열린 열린 년 하계 하계 예선전 대표 정봉주 뽑힌 것을 줄로 4년 연 국가대표로 활동했으며, 고려대학교의 심재학과 과'심 - 심포''로 면 대학 대학 최고의 홈런타자로 활약한다.",per:schools_attended,wikipedia,per,심재학,149,151,PER,고려대,142,144,ORG
30,31583,"1720년 옥스퍼드 대학교임 스타스 칼리지에 입학한 존 웨슬리는 1724 년에 문학사 ( B. A. ) 학위를 땄으나, 대학원에 진학하여 문학석사 ( B. A. ) 자격 취득을 위해 계속 공부하고였다.",per:schools_attended,wikipedia,per,웨슬리,31,33,PER,옥스퍼드 대학교,6,13,ORG
31,31584,"1720 년 옥스퍼드 대학교 래 스트 처치 칼리지에 입학한 존 웨슬리는 1724년, 학사 ( B. A. ) 학위를 땄고, 대학원에 진학해 문학 문학 사'M. B. ) 학위 취득을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,웨슬리,35,37,PER,옥스퍼드 대학교,7,14,ORG
32,31585,"1720년 옥스퍼드 대학교 크라이스트처치 칼리지에 입학한 찰스 웨슬리 ( 1720에, 학사 ( B. A. ) 학위를 땄고, 대학원에 진학하여 보시 석사 ( 컷. A. ) 학위 취득을 위해 계속 공부하였다.",per:schools_attended,wikipedia,per,웨슬리,35,37,PER,옥스퍼드 대학교,6,13,ORG
